                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0389,                 1.5693,                 0.9966,                0.98384,                0.00167,                0.01111,                0.00086,                  9e-05,                      0,                      0,                      0,                      0,                 2.0603,                  563.4,                 118.85,                 3.4476,              0.0009149,              0.0009149,              0.0009149
                     72,                 1.0334,                 1.7882,                0.96023,                0.96747,                0.00824,                0.03333,                0.01759,                0.00193,                0.00233,                0.01111,                0.00085,                  9e-05,                 1.8138,                    103,                 132.14,                 2.1894,             0.00092094,             0.00092094,             0.00092094
                     73,                0.96037,                  1.364,                 1.1181,                 0.9781,                0.00824,                0.03333,                0.01759,                0.00193,                0.00233,                0.01111,                0.00085,                  9e-05,                 1.8138,                    103,                 132.14,                 2.1894,             0.00092678,             0.00092678,             0.00092678
                     74,                 1.1076,                 1.4749,                 1.0516,                   1.02,                0.00824,                0.03333,                0.01759,                0.00193,                0.00233,                0.01111,                0.00085,                  9e-05,                 1.8138,                    103,                 132.14,                 2.1894,             0.00093243,             0.00093243,             0.00093243
                     75,                 1.0497,                 1.3827,                 1.0723,                 1.0265,                0.00333,                0.02222,                0.00175,                0.00035,                0.00435,                0.01111,                0.00102,                 0.0001,                 1.5472,                 12.498,                 21.833,                 1.5625,             0.00093788,             0.00093788,             0.00093788
                     76,                0.98291,                 1.4382,                0.86179,                0.93257,                0.00333,                0.02222,                0.00175,                0.00035,                0.00435,                0.01111,                0.00102,                 0.0001,                 1.5472,                 12.498,                 21.833,                 1.5625,             0.00094313,             0.00094313,             0.00094313
                     77,                0.98417,                 1.1424,                0.81918,                0.90042,                0.00333,                0.02222,                0.00175,                0.00035,                0.00435,                0.01111,                0.00102,                 0.0001,                 1.5472,                 12.498,                 21.833,                 1.5625,             0.00094818,             0.00094818,             0.00094818
                     78,                 1.1662,                 1.8258,                 1.4264,                 1.0115,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.6103,                 6.0147,                  14.14,                 1.6796,             0.00095303,             0.00095303,             0.00095303
                     79,                 1.1961,                 1.7448,                 1.6758,                 1.0963,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.6103,                 6.0147,                  14.14,                 1.6796,             0.00095768,             0.00095768,             0.00095768
                     80,                 1.1311,                 1.3418,                 1.4697,                0.94654,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.6103,                 6.0147,                  14.14,                 1.6796,             0.00096214,             0.00096214,             0.00096214
                     81,                 1.0669,                 1.4667,                  1.465,                0.96974,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.7507,                 11.149,                  49.68,                 1.7964,              0.0009664,              0.0009664,              0.0009664
                     82,                  1.147,                 1.3284,                 1.2025,                 1.0146,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.7507,                 11.149,                  49.68,                 1.7964,             0.00097046,             0.00097046,             0.00097046
                     83,                 1.2337,                 1.9385,                  1.273,                 1.0035,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 1.7507,                 11.149,                  49.68,                 1.7964,             0.00097432,             0.00097432,             0.00097432
                     84,                 1.1683,                 1.4575,                 1.0489,                0.94128,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 2.0661,                 11.198,                 131.47,                 2.2529,             0.00097799,             0.00097799,             0.00097799
                     85,                 1.2713,                 1.5441,                 1.1812,                 1.0132,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 2.0661,                 11.198,                 131.47,                 2.2529,             0.00098146,             0.00098146,             0.00098146
                     86,                 1.4124,                 1.7053,                 1.3181,                 1.1717,                0.01665,                0.05556,                0.00488,                0.00276,                0.01665,                0.05556,                0.00488,                0.00297,                 2.0661,                 11.198,                 131.47,                 2.2529,             0.00098472,             0.00098472,             0.00098472
